walk twice after jump	I_JUMP I_WALK I_WALK	I_JUMP I_WALK I_WALK	True
jump and jump left	I_JUMP	I_JUMP I_TURN_LEFT I_JUMP	False
look right after jump	I_JUMP	I_JUMP I_TURN_RIGHT I_LOOK	False
jump right and run	I_TURN_RIGHT I_JUMP	I_TURN_RIGHT I_JUMP I_RUN	False
look after jump left	I_TURN_LEFT I_TURN_LEFT I_LOOK	I_TURN_LEFT I_JUMP I_LOOK	False
walk after jump left	I_TURN_LEFT I_TURN_LEFT I_WALK	I_TURN_LEFT I_JUMP I_WALK	False
jump and jump twice	I_JUMP	I_JUMP I_JUMP I_JUMP	False
jump left after run	I_RUN I_TURN_LEFT	I_RUN I_TURN_LEFT I_JUMP	False
look and jump left	I_LOOK I_TURN_LEFT I_TURN_LEFT	I_LOOK I_TURN_LEFT I_JUMP	False
jump and run left	I_JUMP I_TURN_LEFT I_RUN	I_JUMP I_TURN_LEFT I_RUN	True
walk left and jump	I_TURN_LEFT I_WALK I_TURN_LEFT	I_TURN_LEFT I_WALK I_JUMP	False
walk right after jump	I_JUMP	I_JUMP I_TURN_RIGHT I_WALK	False
jump right after run	I_RUN I_TURN_RIGHT	I_RUN I_TURN_RIGHT I_JUMP	False
jump after jump twice	I_JUMP	I_JUMP I_JUMP I_JUMP	False
jump after jump right	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT	I_TURN_RIGHT I_JUMP I_JUMP	False
run after jump right	I_TURN_RIGHT I_TURN_RIGHT I_RUN	I_TURN_RIGHT I_JUMP I_RUN	False
jump right after jump	I_JUMP	I_JUMP I_TURN_RIGHT I_JUMP	False
jump and look right	I_JUMP I_TURN_RIGHT I_LOOK	I_JUMP I_TURN_RIGHT I_LOOK	True
walk and jump left	I_WALK I_TURN_LEFT I_TURN_LEFT	I_WALK I_TURN_LEFT I_JUMP	False
jump twice and look	I_JUMP	I_JUMP I_JUMP I_LOOK	False
jump right and look	I_TURN_RIGHT I_JUMP	I_TURN_RIGHT I_JUMP I_LOOK	False
jump and walk twice	I_JUMP I_WALK I_WALK	I_JUMP I_WALK I_WALK	True
look right and jump	I_TURN_RIGHT I_LOOK	I_TURN_RIGHT I_LOOK I_JUMP	False
jump and run twice	I_JUMP I_RUN I_RUN	I_JUMP I_RUN I_RUN	True
walk twice and jump	I_WALK I_WALK I_TURN_LEFT	I_WALK I_WALK I_JUMP	False
jump twice after look	I_LOOK	I_LOOK I_JUMP I_JUMP	False
look left after jump	I_JUMP	I_JUMP I_TURN_LEFT I_LOOK	False
jump after run right	I_TURN_RIGHT I_RUN I_JUMP	I_TURN_RIGHT I_RUN I_JUMP	True
jump after run left	I_TURN_LEFT I_RUN I_JUMP	I_TURN_LEFT I_RUN I_JUMP	True
run left after jump	I_JUMP	I_JUMP I_TURN_LEFT I_RUN	False
walk right and jump	I_TURN_RIGHT I_WALK I_TURN_LEFT	I_TURN_RIGHT I_WALK I_JUMP	False
look after jump twice	I_JUMP I_TURN_RIGHT I_LOOK	I_JUMP I_JUMP I_LOOK	False
jump after jump thrice	I_JUMP	I_JUMP I_JUMP I_JUMP I_JUMP	False
look thrice and jump	I_LOOK I_LOOK I_LOOK	I_LOOK I_LOOK I_LOOK I_JUMP	False
jump left and jump	I_TURN_LEFT I_JUMP	I_TURN_LEFT I_JUMP I_JUMP	False
